__id__,AX1,AY1,AZ1,GX1,GY1,GZ1,labels
2:01:50,-0.16,6.43,7.7,-0.05,0,-0.04,
2:01:51,-0.16,6.49,7.7,-0.02,-0.06,-0.1,
2:01:52,0.14,6.45,7.64,-0.14,0.02,0.02,
2:01:53,0.01,6.54,7.57,-0.07,0.05,-0.03,
2:01:54,-0.01,6.65,7.67,-0.09,0.02,-0.01,
2:01:55,0.34,6.74,7.49,-0.1,0.07,0.02,
2:01:56,-0.35,6.62,7.57,-0.05,0.03,-0.04,
2:01:57,-0.51,6.44,7.54,-0.01,-0.04,-0.07,
2:01:58,0.08,6.56,7.5,-0.1,-0.01,-0.05,
2:01:59,-0.02,6.29,7.69,-0.08,0.03,-0.05,
2:02:00,-0.14,6.29,7.68,-0.05,-0.03,-0.05,
2:02:01,0.4,6.67,7.49,-0.05,0.09,0,
2:02:03,-0.19,6.69,7.55,-0.06,0.03,-0.04,
2:02:04,-0.25,6.73,7.35,-0.08,0,-0.05,
2:02:05,-0.04,6.79,7.45,-0.05,0,-0.03,
2:02:06,-0.03,6.85,7.36,-0.12,0.05,-0.03,
2:02:07,-0.15,6.91,7.25,-0.06,0,-0.04,
2:02:08,-0.2,7.08,7.28,-0.04,0.02,-0.02,
2:02:09,-0.12,6.93,7.17,-0.06,-0.06,-0.06,
2:02:10,0.13,6.82,7.26,-0.13,0.04,0,
2:02:11,0.24,6.74,7.49,-0.1,0.05,0.01,
2:02:12,0.72,6.7,7.39,-0.09,0,0,
2:02:13,0.23,6.83,7.48,-0.07,0.04,-0.03,
2:02:14,0,6.68,7.53,-0.05,-0.02,-0.04,
2:02:15,0.16,6.63,7.45,-0.09,0.03,-0.01,
2:02:16,-0.08,6.69,7.38,-0.06,0.01,-0.06,
2:02:17,0.45,6.76,7.48,-0.08,0.05,-0.03,
2:02:18,-0.06,6.59,7.49,-0.06,0,-0.03,
2:02:19,0.1,6.71,7.4,-0.11,0.09,0,
2:02:20,0.01,6.53,7.74,-0.09,0.05,-0.03,
2:02:21,0.17,6.62,7.6,-0.09,-0.01,-0.01,
2:02:22,0.05,6.65,7.41,-0.09,0.04,-0.03,
2:02:23,0.12,6.62,7.57,-0.12,0.03,-0.02,
2:02:24,-0.22,6.55,7.58,-0.07,0.09,0.01,
2:02:25,0.02,6.69,7.52,-0.03,-0.01,-0.03,
